Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	305	305
OG0000001	122	122
OG0000002	119	119
OG0000003	116	116
OG0000004	70	67
OG0000005	92	91
OG0000006	99	99
OG0000007	96	96
OG0000008	92	92
OG0000009	87	87
OG0000010	86	86
OG0000011	77	77
OG0000012	71	71
OG0000013	81	81
OG0000014	63	56
OG0000015	77	77
OG0000016	77	77
OG0000017	69	68
OG0000018	71	71
OG0000019	69	69
OG0000020	69	69
OG0000021	68	68
OG0000022	69	69
OG0000023	67	67
OG0000024	55	55
OG0000025	45	43
OG0000026	64	64
OG0000027	54	54
OG0000028	63	63
OG0000029	58	58
OG0000030	56	56
OG0000031	59	57
OG0000032	60	60
OG0000033	59	59
OG0000034	47	39
OG0000035	60	60
OG0000036	60	60
OG0000037	59	59
OG0000038	49	49
OG0000039	30	29
OG0000040	53	51
OG0000041	57	57
OG0000042	55	55
OG0000043	56	56
OG0000044	56	56
OG0000045	56	56
OG0000046	47	44
OG0000047	34	29
OG0000048	55	55
OG0000049	50	40
OG0000050	56	56
OG0000051	56	56
OG0000052	54	54
OG0000053	54	54
OG0000054	26	24
OG0000055	51	50
OG0000056	53	53
OG0000057	51	50
OG0000058	50	49
OG0000059	49	49
OG0000060	51	49
OG0000061	49	49
OG0000062	50	50
OG0000063	50	50
OG0000064	51	51
OG0000065	50	50
OG0000066	49	49
OG0000067	50	50
OG0000068	44	44
OG0000069	49	49
OG0000070	49	49
OG0000071	50	50
OG0000072	50	50
OG0000073	50	50
OG0000074	50	50
OG0000075	48	48
OG0000076	48	48
OG0000077	31	31
OG0000078	49	49
OG0000079	47	47
OG0000080	47	47
OG0000081	46	46
OG0000082	45	45
OG0000083	42	42
OG0000084	44	44
OG0000085	45	45
OG0000086	41	41
OG0000087	40	40
OG0000088	43	43
OG0000089	40	40
OG0000090	43	43
OG0000091	43	43
OG0000092	42	42
OG0000093	20	20
OG0000094	40	40
OG0000095	21	19
OG0000096	42	42
OG0000097	29	25
OG0000098	39	39
OG0000099	40	40
OG0000100	21	21
OG0000101	35	35
OG0000102	40	40
OG0000103	26	23
OG0000104	30	30
OG0000105	28	26
OG0000106	36	34
OG0000107	38	38
OG0000108	39	39
OG0000109	37	37
OG0000110	39	39
OG0000111	38	38
OG0000112	37	37
OG0000113	38	38
OG0000114	20	13
OG0000115	23	23
OG0000116	37	37
