	i_nil	i_purpurea	i_trifida	i_triloba
Number of genes	45365	56509	44158	47091
Number of genes in orthogroups	42646	47422	40994	43176
Number of unassigned genes	2719	9087	3164	3915
Percentage of genes in orthogroups	94.0	83.9	92.8	91.7
Percentage of unassigned genes	6.0	16.1	7.2	8.3
Number of orthogroups containing species	26649	27701	26059	26269
Percentage of orthogroups containing species	78.1	81.2	76.4	77.0
Number of species-specific orthogroups	841	2169	674	888
Number of genes in species-specific orthogroups	4130	10058	1854	2559
Percentage of genes in species-specific orthogroups	9.1	17.8	4.2	5.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	7469	6417	8059	7849
'1	20311	21943	17901	17402
'2	4016	3101	5068	5198
'3	1122	1054	1641	1945
'4	438	466	716	813
'5	209	309	288	382
'6	122	170	168	192
'7	85	105	88	108
'8	57	66	61	70
'9	43	44	31	54
'10	29	60	23	26
11-15	93	129	53	56
16-20	39	68	14	13
21-50	62	156	7	10
51-100	19	30	0	0
101-150	3	0	0	0
151-200	0	0	0	0
201-500	1	0	0	0
501-1000	0	0	0	0
'1001+	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	21.9	18.8	23.6	23.0
'1	59.5	64.3	52.5	51.0
'2	11.8	9.1	14.9	15.2
'3	3.3	3.1	4.8	5.7
'4	1.3	1.4	2.1	2.4
'5	0.6	0.9	0.8	1.1
'6	0.4	0.5	0.5	0.6
'7	0.2	0.3	0.3	0.3
'8	0.2	0.2	0.2	0.2
'9	0.1	0.1	0.1	0.2
'10	0.1	0.2	0.1	0.1
11-15	0.3	0.4	0.2	0.2
16-20	0.1	0.2	0.0	0.0
21-50	0.2	0.5	0.0	0.0
51-100	0.1	0.1	0.0	0.0
101-150	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0
'1	20311	21943	17901	17402
'2	8032	6202	10136	10396
'3	3366	3162	4923	5835
'4	1752	1864	2864	3252
'5	1045	1545	1440	1910
'6	732	1020	1008	1152
'7	595	735	616	756
'8	456	528	488	560
'9	387	396	279	486
'10	290	600	230	260
11-15	1166	1640	653	692
16-20	682	1218	244	220
21-50	1936	4708	212	255
51-100	1230	1861	0	0
101-150	360	0	0	0
151-200	0	0	0	0
201-500	306	0	0	0
501-1000	0	0	0	0
'1001+	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0
'1	44.8	38.8	40.5	37.0
'2	17.7	11.0	23.0	22.1
'3	7.4	5.6	11.1	12.4
'4	3.9	3.3	6.5	6.9
'5	2.3	2.7	3.3	4.1
'6	1.6	1.8	2.3	2.4
'7	1.3	1.3	1.4	1.6
'8	1.0	0.9	1.1	1.2
'9	0.9	0.7	0.6	1.0
'10	0.6	1.1	0.5	0.6
11-15	2.6	2.9	1.5	1.5
16-20	1.5	2.2	0.6	0.5
21-50	4.3	8.3	0.5	0.5
51-100	2.7	3.3	0.0	0.0
101-150	0.8	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0
201-500	0.7	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0
