Orthogroup	i_nil	i_purpurea	i_trifida	i_triloba
OG0034118	INIL01g36532.t1			
OG0034119	INIL01g36538.t1			
OG0034120	INIL01g36552.t1			
OG0034121	INIL01g36576.t1			
OG0034122	INIL01g36585.t1			
OG0034123	INIL01g36590.t1			
OG0034124	INIL01g36610.t1			
OG0034125	INIL01g36618.t1			
OG0034126	INIL01g36636.t1			
OG0034127	INIL01g36659.t1			
OG0034128	INIL01g36662.t1			
OG0034129	INIL01g36663.t1			
OG0034130	INIL01g36665.t1			
OG0034131	INIL01g36679.t1			
OG0034132	INIL01g36691.t1			
OG0034133	INIL01g36705.t1			
OG0034134	INIL01g36715.t1			
OG0034135	INIL01g36720.t1			
OG0034136	INIL01g36722.t1			
OG0034137	INIL01g36744.t1			
OG0034138	INIL01g36748.t1			
OG0034139	INIL01g36749.t1			
OG0034140	INIL01g36763.t1			
OG0034141	INIL01g00013.t1			
OG0034142	INIL01g00020.t1			
OG0034143	INIL01g00025.t1			
OG0034144	INIL01g00032.t1			
OG0034145	INIL01g00039.t1			
OG0034146	INIL01g00056.t1			
OG0034147	INIL01g25725.t1			
OG0034148	INIL01g25737.t1			
OG0034149	INIL01g25759.t1			
OG0034150	INIL01g25768.t1			
OG0034151	INIL01g25782.t1			
OG0034152	INIL01g25798.t2			
OG0034153	INIL01g25799.t1			
OG0034154	INIL01g25803.t1			
OG0034155	INIL01g00929.t1			
OG0034156	INIL01g00932.t1			
OG0034157	INIL01g00935.t1			
OG0034158	INIL01g00960.t1			
OG0034159	INIL01g00968.t1			
OG0034160	INIL01g00970.t1			
OG0034161	INIL01g00972.t1			
OG0034162	INIL01g00976.t1			
OG0034163	INIL01g00980.t1			
OG0034164	INIL01g01625.t1			
OG0034165	INIL01g01656.t1			
OG0034166	INIL01g01663.t1			
OG0034167	INIL01g01670.t1			
OG0034168	INIL01g01671.t1			
OG0034169	INIL01g01679.t1			
OG0034170	INIL01g01683.t1			
OG0034171	INIL01g01685.t1			
OG0034172	INIL01g01687.t1			
OG0034173	INIL01g01696.t1			
OG0034174	INIL01g01699.t1			
OG0034175	INIL01g21750.t1			
OG0034176	INIL01g21753.t1			
OG0034177	INIL01g15956.t1			
OG0034178	INIL01g15950.t1			
OG0034179	INIL01g15948.t1			
OG0034180	INIL01g15939.t1			
OG0034181	INIL01g15916.t1			
OG0034182	INIL01g15909.t1			
OG0034183	INIL01g15886.t1			
OG0034184	INIL01g15858.t1			
OG0034185	INIL01g15848.t1			
OG0034186	INIL01g20345.t1			
OG0034187	INIL01g20340.t1			
OG0034188	INIL01g20322.t1			
OG0034189	INIL01g20316.t1			
OG0034190	INIL01g20310.t1			
OG0034191	INIL01g20304.t1			
OG0034192	INIL01g20281.t1			
OG0034193	INIL01g20263.t1			
OG0034194	INIL01g42413.t1			
OG0034195	INIL01g42415.t1			
OG0034196	INIL01g42428.t1			
OG0034197	INIL01g42434.t1			
OG0034198	INIL01g42435.t1			
OG0034199	INIL01g42456.t1			
OG0034200	INIL01g42460.t1			
OG0034201	INIL01g42465.t1			
OG0034202	INIL01g15302.t1			
OG0034203	INIL01g15321.t1			
OG0034204	INIL01g15334.t1			
OG0034205	INIL01g14050.t1			
OG0034206	INIL01g14047.t1			
OG0034207	INIL01g14045.t1			
OG0034208	INIL01g14022.t1			
OG0034209	INIL01g14021.t1			
OG0034210	INIL01g06597.t1			
OG0034211	INIL01g06594.t1			
OG0034212	INIL01g06584.t1			
OG0034213	INIL01g06559.t1			
OG0034214	INIL01g06539.t1			
OG0034215	INIL01g05091.t1			
OG0034216	INIL01g05079.t1			
OG0034217	INIL01g05076.t1			
OG0034218	INIL01g05043.t1			
OG0034219	INIL01g05018.t1			
OG0034220	INIL01g05005.t1			
OG0034221	INIL01g04984.t1			
OG0034222	INIL01g04959.t1			
OG0034223	INIL01g04949.t1			
OG0034224	INIL01g04926.t1			
OG0034225	INIL01g04905.t1			
OG0034226	INIL01g04889.t1			
OG0034227	INIL01g04887.t1			
OG0034228	INIL01g04871.t1			
OG0034229	INIL01g04869.t1			
OG0034230	INIL01g19677.t1			
OG0034231	INIL01g19711.t1			
OG0034232	INIL01g19716.t1			
OG0034233	INIL01g19728.t1			
OG0034234	INIL01g19729.t1			
OG0034235	INIL01g19743.t1			
OG0034236	INIL01g19750.t1			
OG0034237	INIL01g19757.t1			
OG0034238	INIL01g19765.t1			
OG0034239	INIL01g19773.t1			
OG0034240	INIL01g19798.t1			
OG0034241	INIL01g19799.t1			
OG0034242	INIL01g19808.t1			
OG0034243	INIL01g19823.t1			
OG0034244	INIL01g19852.t1			
OG0034245	INIL01g19878.t1			
OG0034246	INIL01g19901.t1			
OG0034247	INIL01g19902.t1			
OG0034248	INIL01g19943.t1			
OG0034249	INIL01g19958.t1			
OG0034250	INIL01g19998.t1			
OG0034251	INIL01g20018.t1			
OG0034252	INIL01g20031.t1			
OG0034253	INIL01g20100.t1			
OG0034254	INIL01g20203.t1			
OG0034255	INIL01g20221.t1			
OG0034256	INIL01g20225.t1			
OG0034257	INIL01g25699.t1			
OG0034258	INIL01g25692.t1			
OG0034259	INIL01g25665.t1			
OG0034260	INIL01g25651.t1			
OG0034261	INIL01g25613.t1			
OG0034262	INIL01g25610.t1			
OG0034263	INIL01g25601.t1			
OG0034264	INIL01g25567.t1			
OG0034265	INIL01g25548.t1			
OG0034266	INIL01g25545.t1			
OG0034267	INIL01g25535.t1			
OG0034268	INIL01g25523.t1			
OG0034269	INIL01g25485.t1			
OG0034270	INIL01g25451.t1			
OG0034271	INIL01g25429.t1			
OG0034272	INIL01g25393.t1			
OG0034273	INIL01g25383.t1			
OG0034274	INIL01g25376.t1			
OG0034275	INIL01g25320.t1			
OG0034276	INIL01g25315.t1			
OG0034277	INIL01g25304.t1			
OG0034278	INIL01g25277.t1			
OG0034279	INIL01g25182.t1			
OG0034280	INIL01g25131.t1			
OG0034281	INIL01g25114.t1			
OG0034282	INIL01g25105.t1			
OG0034283	INIL01g25076.t1			
OG0034284	INIL10g12108.t1			
OG0034285	INIL10g12134.t1			
OG0034286	INIL10g12151.t1			
OG0034287	INIL10g12199.t1			
OG0034288	INIL10g12248.t1			
OG0034289	INIL10g12251.t1			
OG0034290	INIL10g12343.t1			
OG0034291	INIL10g12377.t1			
OG0034292	INIL10g12426.t1			
OG0034293	INIL10g12442.t1			
OG0034294	INIL10g12450.t1			
OG0034295	INIL10g12452.t1			
OG0034296	INIL10g12474.t1			
OG0034297	INIL10g12506.t1			
OG0034298	INIL10g12565.t1			
OG0034299	INIL10g12583.t1			
OG0034300	INIL10g12610.t1			
OG0034301	INIL10g12737.t1			
OG0034302	INIL10g12739.t1			
OG0034303	INIL10g12755.t1			
OG0034304	INIL10g12762.t1			
OG0034305	INIL10g12795.t1			
OG0034306	INIL10g12821.t1			
OG0034307	INIL10g12844.t1			
OG0034308	INIL10g12848.t1			
OG0034309	INIL10g12856.t1			
OG0034310	INIL10g12864.t1			
OG0034311	INIL10g12886.t1			
OG0034312	INIL10g12949.t1			
OG0034313	INIL10g12970.t1			
OG0034314	INIL10g12989.t1			
OG0034315	INIL10g12993.t1			
OG0034316	INIL10g12994.t1			
OG0034317	INIL10g12996.t1			
OG0034318	INIL10g13015.t1			
OG0034319	INIL10g13016.t1			
OG0034320	INIL10g13038.t1			
OG0034321	INIL10g13073.t1			
OG0034322	INIL10g13111.t1			
OG0034323	INIL10g13118.t1			
OG0034324	INIL10g13119.t1			
OG0034325	INIL10g13122.t1			
OG0034326	INIL10g13124.t1			
OG0034327	INIL10g13137.t1			
OG0034328	INIL10g13152.t1			
OG0034329	INIL10g13182.t1			
OG0034330	INIL10g13187.t1			
OG0034331	INIL10g13230.t1			
OG0034332	INIL10g13242.t1			
OG0034333	INIL10g13269.t1			
OG0034334	INIL10g13270.t1			
OG0034335	INIL10g13277.t1			
OG0034336	INIL10g13304.t1			
OG0034337	INIL10g13317.t1			
OG0034338	INIL10g13318.t1			
OG0034339	INIL10g13321.t1			
OG0034340	INIL10g13343.t1			
OG0034341	INIL10g13360.t1			
OG0034342	INIL10g13364.t1			
OG0034343	INIL10g13396.t1			
OG0034344	INIL10g13397.t1			
OG0034345	INIL10g13417.t1			
OG0034346	INIL10g13442.t1			
OG0034347	INIL10g13489.t1			
OG0034348	INIL10g16247.t1			
OG0034349	INIL10g16248.t1			
OG0034350	INIL10g16262.t1			
OG0034351	INIL10g16289.t1			
OG0034352	INIL10g16315.t1			
OG0034353	INIL10g16316.t1			
OG0034354	INIL10g16318.t1			
OG0034355	INIL10g16328.t1			
OG0034356	INIL10g16340.t1			
OG0034357	INIL10g16344.t1			
OG0034358	INIL10g10217.t1			
OG0034359	INIL10g10230.t1			
OG0034360	INIL10g10231.t1			
OG0034361	INIL10g10233.t1			
OG0034362	INIL10g10239.t1			
OG0034363	INIL10g10271.t1			
OG0034364	INIL10g10275.t1			
OG0034365	INIL10g42511.t1			
OG0034366	INIL10g42514.t1			
OG0034367	INIL10g42515.t1			
OG0034368	INIL10g42535.t1			
OG0034369	INIL10g42543.t1			
OG0034370	INIL10g42560.t1			
OG0034371	INIL10g42568.t1			
OG0034372	INIL10g42569.t1			
OG0034373	INIL10g42572.t1			
OG0034374	INIL10g42576.t1			
OG0034375	INIL10g42582.t1			
OG0034376	INIL10g42585.t1			
OG0034377	INIL10g42603.t1			
OG0034378	INIL10g42614.t1			
OG0034379	INIL10g42624.t1			
OG0034380	INIL10g42635.t1			
OG0034381	INIL10g42646.t1			
OG0034382	INIL10g42674.t1			
OG0034383	INIL10g42676.t1			
OG0034384	INIL10g42678.t1			
OG0034385	INIL10g42682.t1			
OG0034386	INIL10g42695.t1			
OG0034387	INIL10g42698.t1			
OG0034388	INIL10g42736.t1			
OG0034389	INIL10g01895.t1			
OG0034390	INIL10g01901.t1			
OG0034391	INIL10g01902.t1			
OG0034392	INIL10g01909.t1			
OG0034393	INIL10g01923.t1			
OG0034394	INIL10g01929.t1			
OG0034395	INIL10g32232.t1			
OG0034396	INIL10g32239.t1			
OG0034397	INIL10g32241.t1			
OG0034398	INIL10g32247.t1			
OG0034399	INIL10g32255.t1			
OG0034400	INIL10g32256.t1			
OG0034401	INIL10g32264.t1			
OG0034402	INIL10g32271.t1			
OG0034403	INIL10g32283.t1			
OG0034404	INIL10g32296.t1			
OG0034405	INIL10g32330.t1			
OG0034406	INIL10g11155.t1			
OG0034407	INIL10g11165.t1			
OG0034408	INIL10g11167.t1			
OG0034409	INIL10g11190.t1			
OG0034410	INIL10g11201.t1			
OG0034411	INIL10g11210.t1			
OG0034412	INIL10g11292.t1			
OG0034413	INIL10g11319.t1			
OG0034414	INIL10g11321.t1			
OG0034415	INIL10g10623.t1			
OG0034416	INIL10g10614.t1			
OG0034417	INIL10g10613.t1			
OG0034418	INIL10g10610.t1			
OG0034419	INIL10g10599.t1			
OG0034420	INIL10g10591.t1			
OG0034421	INIL10g10585.t1			
OG0034422	INIL10g08672.t1			
OG0034423	INIL10g05440.t1			
OG0034424	INIL10g05445.t1			
OG0034425	INIL10g05448.t1			
OG0034426	INIL10g28972.t1			
OG0034427	INIL10g28988.t1			
OG0034428	INIL10g41066.t1			
OG0034429	INIL10g41040.t1			
OG0034430	INIL10g42194.t1			
OG0034431	INIL10g42207.t1			
OG0034432	INIL10g42247.t1			
OG0034433	INIL10g42251.t1			
OG0034434	INIL10g23887.t1			
OG0034435	INIL10g23881.t1			
OG0034436	INIL10g20749.t1			
OG0034437	INIL10g40491.t1			
OG0034438	INIL10g40488.t1			
OG0034439	INIL10g40486.t1			
OG0034440	INIL10g40482.t1			
OG0034441	INIL10g40470.t1			
OG0034442	INIL11g10080.t1			
OG0034443	INIL11g10077.t1			
OG0034444	INIL11g09851.t1			
OG0034445	INIL11g09850.t1			
OG0034446	INIL11g09823.t1			
OG0034447	INIL11g09814.t1			
OG0034448	INIL11g09804.t1			
OG0034449	INIL11g09780.t1			
OG0034450	INIL11g05348.t1			
OG0034451	INIL11g05344.t1			
OG0034452	INIL11g05271.t1			
OG0034453	INIL11g05244.t1			
OG0034454	INIL11g05212.t1			
OG0034455	INIL11g05186.t1			
OG0034456	INIL11g05177.t1			
OG0034457	INIL11g05171.t1			
OG0034458	INIL11g05132.t1			
OG0034459	INIL11g05125.t1			
OG0034460	INIL11g05117.t1			
OG0034461	INIL11g05096.t1			
OG0034462	INIL11g19141.t1			
OG0034463	INIL11g19108.t1			
OG0034464	INIL11g19094.t1			
OG0034465	INIL11g19084.t1			
OG0034466	INIL11g19067.t1			
OG0034467	INIL11g19021.t1			
OG0034468	INIL11g18961.t1			
OG0034469	INIL11g18949.t1			
OG0034470	INIL11g18942.t1			
OG0034471	INIL11g18936.t1			
OG0034472	INIL11g18911.t1			
OG0034473	INIL11g18907.t1			
OG0034474	INIL11g18897.t1			
OG0034475	INIL11g18893.t1			
OG0034476	INIL11g18877.t1			
OG0034477	INIL11g18869.t2			
OG0034478	INIL11g18869.t1			
OG0034479	INIL11g18841.t1			
OG0034480	INIL11g18825.t1			
OG0034481	INIL11g18782.t1			
OG0034482	INIL11g18709.t1			
OG0034483	INIL11g18704.t1			
OG0034484	INIL11g26513.t1			
OG0034485	INIL11g26523.t1			
OG0034486	INIL11g26529.t1			
OG0034487	INIL11g26536.t1			
OG0034488	INIL11g26561.t1			
OG0034489	INIL11g26575.t1			
OG0034490	INIL11g26580.t1			
OG0034491	INIL11g26588.t1			
OG0034492	INIL11g26595.t1			
OG0034493	INIL11g26597.t1			
OG0034494	INIL11g26684.t1			
OG0034495	INIL11g26689.t1			
OG0034496	INIL11g26739.t1			
OG0034497	INIL11g26746.t1			
OG0034498	INIL11g26763.t1			
OG0034499	INIL11g26773.t1			
OG0034500	INIL11g26779.t1			
OG0034501	INIL11g26785.t1			
OG0034502	INIL11g26817.t1			
OG0034503	INIL11g26823.t1			
OG0034504	INIL11g16002.t1			
OG0034505	INIL11g16004.t1			
OG0034506	INIL11g16005.t1			
OG0034507	INIL11g16006.t1			
OG0034508	INIL11g16013.t1			
OG0034509	INIL11g16016.t1			
OG0034510	INIL11g16030.t1			
OG0034511	INIL11g16035.t1			
OG0034512	INIL11g16037.t1			
OG0034513	INIL11g16044.t1			
OG0034514	INIL11g16045.t1			
OG0034515	INIL11g16054.t1			
OG0034516	INIL11g16053.t1			
OG0034517	INIL11g16062.t1			
OG0034518	INIL11g16064.t1			
OG0034519	INIL11g16077.t1			
OG0034520	INIL11g16088.t1			
OG0034521	INIL11g16098.t1			
OG0034522	INIL11g16102.t1			
OG0034523	INIL11g16117.t1			
OG0034524	INIL11g42316.t1			
OG0034525	INIL11g42325.t1			
OG0034526	INIL11g42329.t1			
OG0034527	INIL11g42354.t1			
OG0034528	INIL11g42359.t1			
OG0034529	INIL11g42373.t1			
OG0034530	INIL11g40925.t1			
OG0034531	INIL11g40921.t1			
OG0034532	INIL11g40913.t1			
OG0034533	INIL11g40865.t1			
OG0034534	INIL11g40853.t1			
OG0034535	INIL11g40847.t1			
OG0034536	INIL11g40841.t1			
OG0034537	INIL11g08843.t1			
OG0034538	INIL11g08841.t1			
OG0034539	INIL11g08839.t1			
OG0034540	INIL11g08832.t1			
OG0034541	INIL11g08825.t1			
OG0034542	INIL11g08801.t1			
OG0034543	INIL11g08792.t1			
OG0034544	INIL11g08780.t1			
OG0034545	INIL11g08773.t1			
OG0034546	INIL11g08770.t1			
OG0034547	INIL11g08767.t1			
OG0034548	INIL11g08763.t1			
OG0034549	INIL11g18386.t1			
OG0034550	INIL11g18394.t1			
OG0034551	INIL11g18398.t1			
OG0034552	INIL11g18472.t1			
OG0034553	INIL11g18476.t1			
OG0034554	INIL11g18484.t1			
OG0034555	INIL11g18489.t1			
OG0034556	INIL11g39606.t1			
OG0034557	INIL11g39628.t1			
OG0034558	INIL11g39630.t1			
OG0034559	INIL11g28637.t1			
OG0034560	INIL11g30916.t1			
OG0034561	INIL11g28277.t1			
OG0034562	INIL11g28291.t1			
OG0034563	INIL11g15598.t1			
OG0034564	INIL11g19468.t1			
OG0034565	INIL11g19484.t1			
OG0034566	INIL11g19491.t1			
OG0034567	INIL11g29515.t1			
OG0034568	INIL11g29525.t1			
OG0034569	INIL11g29547.t1			
OG0034570	INIL11g29559.t1			
OG0034571	INIL11g29561.t1			
OG0034572	INIL11g29572.t1			
OG0034573	INIL11g29574.t1			
OG0034574	INIL11g10746.t1			
OG0034575	INIL11g10769.t1			
OG0034576	INIL11g10799.t1			
OG0034577	INIL11g10819.t1			
OG0034578	INIL11g10830.t1			
OG0034579	INIL11g10833.t1			
OG0034580	INIL11g10839.t1			
OG0034581	INIL11g10852.t1			
OG0034582	INIL11g10863.t1			
OG0034583	INIL11g10900.t1			
OG0034584	INIL11g10907.t1			
OG0034585	INIL11g22270.t1			
OG0034586	INIL11g22284.t1			
OG0034587	INIL11g22295.t1			
OG0034588	INIL12g01596.t1			
OG0034589	INIL12g01584.t1			
OG0034590	INIL12g01537.t1			
OG0034591	INIL12g01522.t1			
OG0034592	INIL12g01495.t1			
OG0034593	INIL12g01461.t1			
OG0034594	INIL12g01460.t1			
OG0034595	INIL12g01426.t1			
